node	cluster
Language Disorders	1
acamprosate	1
acetophenazine	1
acetylcysteine	1
aluminum chloride	1
aminosalicylic acid	1
amisulpride	1
amitriptyline	1
amoxapine	1
amphetamine	1
apomorphine	1
apraclonidine	1
aripiprazole	1
aripiprazole lauroxil	1
armodafinil	1
asenapine	1
atenolol	1
atomoxetine	1
avatrombopag	1
balsalazide	1
benzphetamine	1
bepridil	1
betaxolol	1
bethanidine	1
bleomycin	1
bosutinib	1
brexpiprazole	1
brimonidine	1
bupropion	1
cannabidiol	1
celiprolol	1
chlorpromazine	1
cinnarizine	1
clomipramine	1
clozapine	1
cyclobenzaprine	1
cyproheptadine	1
desipramine	1
dexmedetomidine	1
dextroamphetamine	1
dihydro-alpha-ergocryptine	1
diphenylpyraline	1
donepezil	1
dopamine	1
dosulepin	1
dronedarone	1
droperidol	1
dupilumab	1
epicriptine	1
epinastine	1
ergotamine	1
escitalopram	1
esketamine	1
esmolol	1
ethanol	1
felbamate	1
fenfluramine	1
fenoldopam	1
filgrastim	1
flibanserin	1
fluciclovine (18f)	1
flupentixol	1
fluphenazine	1
fluspirilene	1
fostamatinib	1
glyburide	1
guaifenesin	1
guanabenz	1
guanfacine	1
haloperidol	1
hydrocodone	1
ifenprodil	1
iloperidone	1
imatinib	1
imipramine	1
interferon gamma-1b	1
irbesartan	1
isavuconazole	1
isosorbide	1
ketoprofen	1
lacidipine	1
lamotrigine	1
larotrectinib	1
lenvatinib	1
levobetaxolol	1
levodopa	1
levonordefrin	1
lisuride	1
lorpiprazole	1
loxapine	1
lumateperone	1
lurasidone	1
magnesium acetate tetrahydrate	1
magnesium carbonate	1
maprotiline	1
memantine	1
meperidine	1
mesalazine	1
mesoridazine	1
metamfetamine	1
methylergometrine	1
methysergide	1
metoclopramide	1
mianserin	1
midostaurin	1
milnacipran	1
minaprine	1
minocycline	1
modafinil	1
molindone	1
moxonidine	1
naphazoline	1
nefazodone	1
nicorandil	1
nintedanib	1
nortriptyline	1
noscapine	1
paliperidone	1
paroxetine	1
pegfilgrastim	1
pentamidine	1
periciazine	1
perphenazine	1
phenylpropanolamine	1
phenytoin	1
pimavanserin	1
pimozide	1
pipotiazine	1
pipradrol	1
ponatinib	1
practolol	1
pramipexole	1
prasterone	1
promazine	1
propafenone	1
propiomazine	1
pseudoephedrine	1
quetiapine	1
quinagolide	1
rasagiline	1
regorafenib	1
remoxipride	1
rilmenidine	1
risperidone	1
rotigotine	1
sertraline	1
sorafenib	1
sotalol	1
sunitinib	1
thiethylperazine	1
thioridazine	1
thiothixene	1
tramadol	1
trazodone	1
trifluoperazine	1
triflupromazine	1
trimipramine	1
velaglucerase alfa	1
xamoterol	1
yohimbine	1
zileuton	1
ziprasidone	1
zotepine	1
zuclopenthixol	1
tetracycline	1
adenosine	1
allopurinol	1
astemizole	1
atezolizumab	1
atosiban	1
avelumab	1
axicabtagene ciloleucel	1
axitinib	1
azithromycin	1
benzonatate	1
betahistine	1
botulinum toxin type b	1
brentuximab vedotin	1
brigatinib	1
caffeine	1
calcitriol	1
calcium citrate	1
calcium phosphate	1
calcium phosphate dihydrate	1
carbetocin	1
cemiplimab	1
chlormerodrin	1
chloroprocaine	1
cholecystokinin	1
cinchocaine	1
ciprofloxacin	1
cisapride	1
conivaptan	1
creatine	1
d-serine	1
dabrafenib	1
daratumumab	1
debrisoquine	1
defibrotide	1
diethylpropion	1
durvalumab	1
eltrombopag	1
encorafenib	1
enflurane	1
enprofylline	1
entrectinib	1
epirubicin	1
eribulin	1
estramustine	1
febuxostat	1
fosphenytoin	1
glycine	1
glycine betaine	1
guanadrel	1
guanethidine	1
guanidine	1
halofantrine	1
icatibant	1
indecainide	1
"interferon alfa-2a, recombinant"	1
interferon alfa-2b	1
interferon alfa-n1	1
interferon alfa-n3	1
interferon alfacon-1	1
interferon beta-1a	1
interferon beta-1b	1
ipilimumab	1
istradefylline	1
levocarnitine	1
lusutrombopag	1
masoprocol	1
methyldopa	1
methylphenidate	1
metyrosine	1
n-acetylglucosamine	1
nivolumab	1
nylidrin	1
omalizumab	1
oxtriphylline	1
oxytocin	1
peginterferon alfa-2a	1
peginterferon alfa-2b	1
pembrolizumab	1
pentazocine	1
pentostatin	1
pentoxifylline	1
pentoxyverine	1
perhexiline	1
pexidartinib	1
phenacemide	1
phenazopyridine	1
phenmetrazine	1
phenylalanine	1
pitolisant	1
prenylamine	1
prilocaine	1
procainamide	1
propanoic acid	1
quinidine barbiturate	1
reboxetine	1
regadenoson	1
riluzole	1
romiplostim	1
solriamfetol	1
somatotropin	1
streptomycin	1
tasonermin	1
tiagabine	1
tocainide	1
tolvaptan	1
tyrosine	1
vemurafenib	1
venetoclax	1
viloxazine	1
Memory Disorders	2
adalimumab	2
alirocumab	2
aliskiren	2
alteplase	2
amantadine	2
aminocaproic acid	2
aminoglutethimide	2
amiodarone	2
anastrozole	2
angiotensin ii	2
anistreplase	2
anti-inhibitor coagulant complex	2
antihemophilic factor human	2
atorvastatin	2
azilsartan medoxomil	2
bendroflumethiazide	2
benzthiazide	2
bezafibrate	2
binimetinib	2
bromocriptine	2
buspirone	2
cabergoline	2
canakinumab	2
candesartan cilexetil	2
carboprost tromethamine	2
cariprazine	2
carvedilol	2
cefdinir	2
chlorprothixene	2
chlorthalidone	2
chlorzoxazone	2
chondroitin sulfate	2
cinacalcet	2
citrulline	2
clenbuterol	2
coagulation factor vii human	2
coagulation factor viia recombinant human	2
curcumin	2
dexamethasone	2
diazoxide	2
diclofenamide	2
dihydroergocornine	2
dihydroergocristine	2
dl-methylephedrine	2
dobutamine	2
doconexent	2
domperidone	2
dorzolamide	2
doxazosin	2
doxepin	2
doxylamine	2
drotrecogin alfa	2
droxidopa	2
emapalumab	2
enalaprilat	2
epinephrine	2
eprosartan	2
ergoloid mesylate	2
ergometrine	2
estrone	2
etelcalcetide	2
ethinamate	2
exemestane	2
fentanyl	2
fish oil	2
foreskin fibroblast (neonatal)	2
foreskin keratinocyte (neonatal)	2
formoterol	2
ginseng	2
glipizide	2
glucosamine	2
glycyrrhizic acid	2
halothane	2
hydroflumethiazide	2
iloprost	2
infliximab	2
isometheptene	2
kappadione	2
ketoconazole	2
labetalol	2
letrozole	2
levothyroxine	2
lorcaserin	2
losartan	2
mecasermin	2
mephentermine	2
metaraminol	2
methadone	2
methazolamide	2
methocarbamol	2
methotrimeprazine	2
methoxamine	2
methyclothiazide	2
methylene blue	2
miltefosine	2
mirabegron	2
mirtazapine	2
myrrh	2
neomycin	2
nicergoline	2
nonacog beta pegol	2
norepinephrine	2
olanzapine	2
olmesartan	2
omega-3 fatty acids	2
pentobarbital	2
pergolide	2
phenobarbital	2
phenoxybenzamine	2
phentolamine	2
pindolol	2
pizotifen	2
pralatrexate	2
prazosin	2
prochlorperazine	2
promethazine	2
propranolol	2
prothrombin	2
racepinephrine	2
ramipril	2
ranolazine	2
resveratrol	2
reteplase	2
ropinirole	2
roxithromycin	2
salbutamol	2
salmon calcitonin	2
sapropterin	2
secobarbital	2
sertindole	2
silodosin	2
siltuximab	2
sirolimus	2
sodium carbonate	2
sodium sulfate	2
stearic acid	2
sucralfate	2
sulpiride	2
tazarotene	2
tegaserod	2
telmisartan	2
telotristat ethyl	2
terazosin	2
testolactone	2
tetryzoline	2
thiopental	2
tirofiban	2
tocilizumab	2
tocofersolan	2
trimethoprim	2
troglitazone	2
turoctocog alfa	2
turoctocog alfa pegol	2
tyloxapol	2
urokinase	2
valproic acid	2
valsartan	2
verapamil	2
amsacrine	2
manganese	2
amiloride	2
desmopressin	2
lanreotide	2
lypressin	2
orphenadrine	2
terlipressin	2
tetrabenazine	2
triamterene	2
vasopressin	2
acetazolamide	2
acetohexamide	2
acrivastine	2
alcaftadine	2
alfuzosin	2
alimemazine	2
alpha-tocopherol succinate	2
amrinone	2
amylmetacresol	2
amylocaine	2
anisindione	2
antazoline	2
asfotase alfa	2
azatadine	2
azelastine	2
bepotastine	2
bilastine	2
brexanolone	2
brinzolamide	2
brivaracetam	2
bromodiphenhydramine	2
bupivacaine	2
butabarbital	2
capsaicin	2
capsicum oleoresin	2
carbamazepine	2
carbinoxamine	2
certolizumab pegol	2
cetirizine	2
chlorcyclizine	2
chlordiazepoxide	2
chlorothiazide	2
cholesterol	2
chromic nitrate	2
chromium	2
chymopapain	2
clemastine	2
clofedanol	2
clonazepam	2
clotiazepam	2
cyclothiazide	2
cyproterone acetate	2
damoctocog alfa pegol	2
dapiprazole	2
deserpidine	2
desflurane	2
desloratadine	2
deutetrabenazine	2
dexbrompheniramine	2
dexchlorpheniramine maleate	2
dichlorobenzyl alcohol	2
dihydroergotamine	2
dimenhydrinate	2
dimetindene	2
diphenhydramine	2
dofetilide	2
dotatate gallium ga-68	2
dyphylline	2
edotreotide gallium ga-68	2
emedastine	2
emicizumab	2
enasidenib	2
eptifibatide	2
erythrityl tetranitrate	2
estazolam	2
eszopiclone	2
ethchlorvynol	2
ezogabine	2
fexofenadine	2
flavin mononucleotide	2
flumazenil	2
fluocinonide	2
flurazepam	2
fospropofol	2
glasdegib	2
glutamic acid	2
glutethimide	2
golimumab	2
halazepam	2
halcinonide	2
hydroxyzine	2
isoflurane	2
ivermectin	2
lacosamide	2
levetiracetam	2
levocetirizine	2
lindane	2
lomitapide	2
loperamide	2
loratadine	2
meclizine	2
medroxyprogesterone acetate	2
meprobamate	2
mepyramine	2
metergoline	2
methdilazine	2
methotrexate	2
midodrine	2
mifepristone	2
moexipril	2
